"Iso"	"Species"	"GR"	"GRLSD"	"GRUSD"	"CC"	"CCLSD"	"CCUSD"
"I2"	"Chlamydomonas noctigama"	1.2751	1.0914	1.4589	75820	72494	79147
"I3"	"Chlamydomonas noctigama"	1.395	1.2995	1.4904	85852	78476	93228
"I4"	"Chlamydomonas noctigama"	1.2448	1.1294	1.3602	146708	136737	156679
"I5"	"Chlamydomonas noctigama"	1.2676	1.1171	1.418	105202	88877	121526
"I7"	"Chlamydomonas noctigama"	1.2861	1.0891	1.483	79879	77382	82375
"I8"	"Chlamydomonas noctigama"	1.4404	1.3003	1.5805	40841	38288	43395
"I9"	"Chlamydomonas noctigama"	1.4622	1.1096	1.8148	159663	152138	167188
"I10"	"Chlamydomonas noctigama"	1.4319	1.2386	1.6251	254249	218743	289755
"I11"	"Chlamydomonas noctigama"	1.6602	1.4888	1.8315	134248	120896	147600
"I13"	"Chlamydomonas noctigama"	1.3366	1.105	1.5681	128527	122958	134095
"I14"	"Chlamydomonas noctigama"	1.3238	1.1577	1.4899	289577	264659	314495
"I15"	"Chlamydomonas noctigama"	1.4586	1.3285	1.5886	48496	46922	50070
"I16"	"Chlamydomonas noctigama"	1.2242	1.1246	1.3238	33286	30762	35810
"I17"	"Chlamydomonas noctigama"	1.2604	1.11	1.4108	185968	171427	200508
"I18"	"Chlamydomonas noctigama"	1.3184	1.0731	1.5636	30087	29125	31050
"I19"	"Chlamydomonas noctigama"	1.4064	1.1734	1.6394	77748	70237	85259
"I20"	"Chlamydomonas noctigama"	1.6041	1.3416	1.8666	76372	73180	79563
"I23"	"Chlamydomonas noctigama"	1.401	1.1856	1.6165	175768	168661	182875
"I24"	"Chlamydomonas noctigama"	1.4645	1.3342	1.5949	103777	102331	105223
"I25"	"Chlamydomonas noctigama"	1.3266	1.2865	1.3667	209533	198329	220738
"I26"	"Chlamydomonas noctigama"	1.3409	1.1938	1.488	36139	34496	37782
"I27"	"Chlamydomonas noctigama"	1.5114	1.264	1.7588	60878	59656	62100
"I28"	"Chlamydomonas noctigama"	1.2894	1.2268	1.3521	64042	53143	74940
"I29"	"Chlamydomonas noctigama"	1.184	1.0182	1.3498	119536	113336	125735
"I31"	"Chlamydomonas bilatus"	1.3374	1.176	1.4988	239994	221059	258929
"I32"	"Chlamydomonas bilatus"	1.4545	1.2375	1.6714	127004	107759	146249
"I33"	"Chlamydomonas bilatus"	1.6009	1.3561	1.8457	144875	126949	162800
"I34"	"Chlamydomonas bilatus"	1.4539	1.2821	1.6257	239080	235176	242983
"I35"	"Chlamydomonas bilatus"	1.3258	1.2033	1.4483	292973	272796	313151
"I36"	"Chlamydomonas bilatus"	1.2626	1.1552	1.3701	155877	131465	180290
"I37"	"Chlamydomonas bilatus"	1.3644	1.1546	1.5743	111459	94489	128429
"I38"	"Chlamydomonas bilatus"	1.3508	1.1996	1.502	186819	167235	206403
"I40"	"Chlamydomonas bilatus"	1.2929	1.2272	1.3586	491046	473742	508351
"I41"	"Chlamydomonas bilatus"	1.1778	1.007	1.3485	198893	191232	206553
"I42"	"Chlamydomonas bilatus"	1.4599	1.375	1.5448	201575	166554	236596
"I43"	"Chlamydomonas bilatus"	1.5524	1.2084	1.8964	217102	199880	234323
"I44"	"Chlamydomonas bilatus"	1.4949	1.3992	1.5905	268769	256548	280991
"I45"	"Chlamydomonas bilatus"	1.446	1.227	1.6651	189710	185911	193508
"I46"	"Chlamydomonas bilatus"	1.3863	1.2593	1.5133	108060	101647	114472
"I47"	"Chlamydomonas bilatus"	1.3725	1.1756	1.5695	232514	169810	295219
"I48"	"Chlamydomonas bilatus"	1.3764	1.2549	1.4978	276067	259278	292856
"I49"	"Chlamydomonas bilatus"	1.2833	1.1545	1.4121	266588	243499	289676
"I50"	"Chlamydomonas bilatus"	1.2428	1.1101	1.3755	143699	123088	164309
"I51"	"Chlamydomonas bilatus"	1.2684	1.0442	1.4926	218956	204567	233346
"I52"	"Chlamydomonas bilatus"	1.5264	1.3735	1.6792	246754	206066	287442
"I53"	"Chlamydomonas bilatus"	1.4924	1.2185	1.7663	125006	104679	145332
"I54"	"Chlamydomonas bilatus"	1.4349	1.2322	1.6376	187290	173931	200648
"I57"	"Chlamydomonas bilatus"	1.5365	1.4334	1.6395	103839	93890	113788
"I58"	"Chlamydomonas bilatus"	1.4046	1.2765	1.5327	170869	164595	177142
