Code	Iso	Species	Period	Phos	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	0	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	1	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	1	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	1	26
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	1	27
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	1	16
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	1	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	1	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	1	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	1	20
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	1	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	1	28
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	1	30
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	1	38
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	1	30
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	1	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	1	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	1	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	1	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	1	30
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	1	35
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	1	40
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	2	18
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	2	18
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	2	15
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	2	20
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	2	16
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	2	22
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	2	14
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	2	14
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	2	27
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	2	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	2	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	2	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	2	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	2	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	2	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	2	35
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	2	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	2	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	2	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	2	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	2	21
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	3	32
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	3	35
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	3	17
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	3	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	3	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	3	42
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	3	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	3	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	3	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	3	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	3	30
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	3	26
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	3	40
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	3	34
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	3	32
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	3	28
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	3	27
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	3	22
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	3	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	3	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	3	27
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	4	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	4	22
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	4	17
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	4	27
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	4	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	4	33
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	4	26
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	4	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	4	26
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	4	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	4	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	4	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	4	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	4	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	4	35
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	4	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	4	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	4	19
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	4	26
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	4	28
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	4	24
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	5	28
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	5	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	5	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	5	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	5	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	5	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	5	32
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	5	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	5	43
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	5	36
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	5	26
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	5	42
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	5	30
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	5	41
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	5	32
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	5	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	5	36
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	5	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	5	32
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	5	36
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	5	35
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	0	17
