"Iso"	"Species"	"HS"	"HSLSD"	"HSUSD"	"AF"	"AFLSD"	"AFUSD"	"GRM"	"GRMLSD"	"GRMUSD"
"I2"	"Chlamydomonas noctigama"	0.0436	0	0.365	3.8005	2.6101	4.9908	0.1657	0.1138	0.2176
"I3"	"Chlamydomonas noctigama"	0.025	0	0.1188	12.792	10.884	14.7	0.3198	0.2721	0.3675
"I4"	"Chlamydomonas noctigama"	0.0083	0	0.2028	30.5542	21.9277	39.7229	0.2536	0.182	0.3297
"I5"	"Chlamydomonas noctigama"	0.0628	0	0.2932	1.6194	1.086	2.1529	0.1017	0.0682	0.1352
"I7"	"Chlamydomonas noctigama"	0.0062	0	0.0329	47.7581	39.6935	55.8226	0.2961	0.2461	0.3461
"I8"	"Chlamydomonas noctigama"	0.0192	0	0.1868	13.5625	11.3802	15.7448	0.2604	0.2185	0.3023
"I9"	"Chlamydomonas noctigama"	0.0156	0	0.2967	15.4487	13.4744	17.4231	0.241	0.2102	0.2718
"I10"	"Chlamydomonas noctigama"	0.0269	0	0.2321	13.2045	11.7955	14.6134	0.3552	0.3173	0.3931
"I11"	"Chlamydomonas noctigama"	0.011	0	0.1204	24.0727	21.2818	28.0636	0.2648	0.2341	0.3087
"I13"	"Chlamydomonas noctigama"	0.0754	0	0.1517	1.5199	0.6088	2.6538	0.1146	0.0459	0.2001
"I14"	"Chlamydomonas noctigama"	0.0238	0	0.094	19.1471	17.8067	20.4874	0.4557	0.4238	0.4876
"I15"	"Chlamydomonas noctigama"	0.0134	0	0.0586	13.9552	12.2239	15.6866	0.187	0.1638	0.2102
"I16"	"Chlamydomonas noctigama"	0.0213	0	0.0716	12.3803	9.5352	15.2254	0.2637	0.2031	0.3243
"I17"	"Chlamydomonas noctigama"	0.0137	0	0.2428	4.1898	2.6788	6.6788	0.0574	0.0367	0.0915
"I18"	"Chlamydomonas noctigama"	0.0086	0	0.0305	49.3721	44.1047	56.3372	0.4246	0.3793	0.4845
"I19"	"Chlamydomonas noctigama"	0.014	0	0.2108	28.8071	26.1143	36.1071	0.4033	0.3656	0.5055
"I20"	"Chlamydomonas noctigama"	0.046	0	0.2529	6.363	5.3609	7.3652	0.2927	0.2466	0.3388
