"Iso"	"Species"	"Trial"	"HS"	"AF"	"GRM"
"I2"	"Chlamydomonas noctigama"	"1"	5.2483	0.0496	0.2602
"I2"	"Chlamydomonas noctigama"	"2"	0.2402	0.8306	0.1995
"I2"	"Chlamydomonas noctigama"	"3"	0.018	8.5111	0.1532
"I3"	"Chlamydomonas noctigama"	"1"	0.067	5.6672	0.3797
"I3"	"Chlamydomonas noctigama"	"2"	0.0388	8.7448	0.3393
"I3"	"Chlamydomonas noctigama"	"3"	0.039	9.2333	0.3601
"I4"	"Chlamydomonas noctigama"	"1"	0.0827	5.0653	0.4189
"I4"	"Chlamydomonas noctigama"	"2"	0.0405	9.284	0.376
"I4"	"Chlamydomonas noctigama"	"3"	0.2251	2.845	0.6404
"I5"	"Chlamydomonas noctigama"	"1"	0.2258	0.5868	0.1325
"I5"	"Chlamydomonas noctigama"	"2"	6.442	0.0275	0.1773
"I5"	"Chlamydomonas noctigama"	"3"	0.0475	3.5179	0.1671
"I7"	"Chlamydomonas noctigama"	"1"	0.0064	45.9375	0.294
"I7"	"Chlamydomonas noctigama"	"2"	0.0066	48.2121	0.3182
"I7"	"Chlamydomonas noctigama"	"3"	0.0421	8.4703	0.3566
"I8"	"Chlamydomonas noctigama"	"1"	0.0656	5.3399	0.3503
"I8"	"Chlamydomonas noctigama"	"2"	0.0168	15.2857	0.2568
"I8"	"Chlamydomonas noctigama"	"3"	0.0485	6.2866	0.3049
"I9"	"Chlamydomonas noctigama"	"1"	0.0635	6.0047	0.3813
"I9"	"Chlamydomonas noctigama"	"2"	0.0063	29.9048	0.1884
"I9"	"Chlamydomonas noctigama"	"3"	0.0366	7.9262	0.2901
"I10"	"Chlamydomonas noctigama"	"1"	0.0545	7.545	0.4112
"I10"	"Chlamydomonas noctigama"	"2"	0.0784	5.4439	0.4268
"I10"	"Chlamydomonas noctigama"	"3"	0.0371	10.6819	0.3963
"I11"	"Chlamydomonas noctigama"	"1"	0.0351	8.8604	0.311
"I11"	"Chlamydomonas noctigama"	"2"	0.0254	11.1417	0.283
"I11"	"Chlamydomonas noctigama"	"3"	0.027	13.3259	0.3598
"I13"	"Chlamydomonas noctigama"	"1"	0.7222	0.3874	0.2798
"I13"	"Chlamydomonas noctigama"	"2"	0.3285	0.7671	0.252
"I13"	"Chlamydomonas noctigama"	"3"	0.2962	0.2583	0.0765
"I14"	"Chlamydomonas noctigama"	"1"	0.028	15.9821	0.4475
"I14"	"Chlamydomonas noctigama"	"2"	0.0244	18.5615	0.4529
"I14"	"Chlamydomonas noctigama"	"3"	0.0641	9.3963	0.6023
"I15"	"Chlamydomonas noctigama"	"1"	0.017	11.2294	0.1909
"I15"	"Chlamydomonas noctigama"	"2"	0.0357	6.4146	0.229
"I15"	"Chlamydomonas noctigama"	"3"	0.0239	9.3222	0.2228
"I16"	"Chlamydomonas noctigama"	"1"	0.0334	7.6647	0.256
"I16"	"Chlamydomonas noctigama"	"2"	0.0233	11.5751	0.2697
"I16"	"Chlamydomonas noctigama"	"3"	0.0377	7.9655	0.3003
"I17"	"Chlamydomonas noctigama"	"1"	0.1981	0.4089	0.081
"I17"	"Chlamydomonas noctigama"	"2"	0.054	1.4815	0.08
"I17"	"Chlamydomonas noctigama"	"3"	3.7491	0.0388	0.1456
"I18"	"Chlamydomonas noctigama"	"1"	0.0208	23.5577	0.49
