"Iso"	"Species"	"Trial"	"IR"	"CR"
"I2"	"Chlamydomonas noctigama"	1	0.0184	8e-04
"I2"	"Chlamydomonas noctigama"	2	0.049	0.0022
"I2"	"Chlamydomonas noctigama"	3	0.0086	4e-04
"I2"	"Chlamydomonas noctigama"	4	0.2798	0.0127
"I2"	"Chlamydomonas noctigama"	5	0.2954	0.0134
"I3"	"Chlamydomonas noctigama"	1	6e-04	0
"I3"	"Chlamydomonas noctigama"	2	0.0184	0.0011
"I3"	"Chlamydomonas noctigama"	3	0	0
"I3"	"Chlamydomonas noctigama"	4	0.1523	0.0084
"I3"	"Chlamydomonas noctigama"	5	0	0
"I4"	"Chlamydomonas noctigama"	1	0.03	0.0024
"I4"	"Chlamydomonas noctigama"	2	0.0293	0.0023
"I4"	"Chlamydomonas noctigama"	3	0.0317	0.0026
"I4"	"Chlamydomonas noctigama"	4	0	0
"I4"	"Chlamydomonas noctigama"	5	0.0192	0.0016
"I5"	"Chlamydomonas noctigama"	1	0.1053	0.007
"I5"	"Chlamydomonas noctigama"	2	0.1671	0.0107
"I5"	"Chlamydomonas noctigama"	3	0.1378	0.0093
"I5"	"Chlamydomonas noctigama"	4	0.2052	0.013
"I5"	"Chlamydomonas noctigama"	5	0.0177	0.0012
"I7"	"Chlamydomonas noctigama"	1	0.0409	0.0042
"I7"	"Chlamydomonas noctigama"	2	0.013	0.0014
"I7"	"Chlamydomonas noctigama"	3	0.0821	0.0088
"I7"	"Chlamydomonas noctigama"	4	0.1211	0.0097
"I7"	"Chlamydomonas noctigama"	5	0.1286	0.0122
"I8"	"Chlamydomonas noctigama"	1	0.1545	0.009
"I8"	"Chlamydomonas noctigama"	2	0.2122	0.0125
"I8"	"Chlamydomonas noctigama"	3	0.1823	0.0115
"I8"	"Chlamydomonas noctigama"	4	0.181	0.0112
"I8"	"Chlamydomonas noctigama"	5	0.2565	0.0152
"I9"	"Chlamydomonas noctigama"	1	0.0706	0.0048
"I9"	"Chlamydomonas noctigama"	2	0.1185	0.0079
"I9"	"Chlamydomonas noctigama"	3	0.1279	0.0088
"I9"	"Chlamydomonas noctigama"	4	0.1097	0.0083
"I9"	"Chlamydomonas noctigama"	5	0.0965	0.0068
"I10"	"Chlamydomonas noctigama"	1	0.203	0.0066
"I10"	"Chlamydomonas noctigama"	2	0.3357	0.0112
"I10"	"Chlamydomonas noctigama"	3	0.3729	0.0118
"I10"	"Chlamydomonas noctigama"	4	0.227	0.0073
"I10"	"Chlamydomonas noctigama"	5	0.0864	0.0035
"I11"	"Chlamydomonas noctigama"	1	0.059	0.0028
"I11"	"Chlamydomonas noctigama"	2	0.2792	0.0128
"I11"	"Chlamydomonas noctigama"	3	0.0988	0.0047
"I11"	"Chlamydomonas noctigama"	4	0.2283	0.0113
"I11"	"Chlamydomonas noctigama"	5	0.0471	0.0025
"I13"	"Chlamydomonas noctigama"	1	0.0075	5e-04
"I13"	"Chlamydomonas noctigama"	2	0.0329	0.0028
"I13"	"Chlamydomonas noctigama"	3	0.083	0.0054
"I13"	"Chlamydomonas noctigama"	4	0.1273	0.0078
"I13"	"Chlamydomonas noctigama"	5	0.2437	0.016
"I14"	"Chlamydomonas noctigama"	1	0.4738	0.0108
"I14"	"Chlamydomonas noctigama"	2	0.2978	0.0071
"I14"	"Chlamydomonas noctigama"	3	0.3472	0.0082
"I14"	"Chlamydomonas noctigama"	4	0.1621	0.004
"I14"	"Chlamydomonas noctigama"	5	0.1555	0.0045
"I15"	"Chlamydomonas noctigama"	1	0.0777	0.003
"I15"	"Chlamydomonas noctigama"	2	0.1855	0.0071
"I15"	"Chlamydomonas noctigama"	3	0.2096	0.0081
"I15"	"Chlamydomonas noctigama"	4	0.2075	0.0081
"I15"	"Chlamydomonas noctigama"	5	0.0526	0.0023
"I16"	"Chlamydomonas noctigama"	1	0	0
"I16"	"Chlamydomonas noctigama"	2	0	0
"I16"	"Chlamydomonas noctigama"	3	0	0
"I16"	"Chlamydomonas noctigama"	4	0	0
"I16"	"Chlamydomonas noctigama"	5	0	0
"I17"	"Chlamydomonas noctigama"	1	0.0638	0.0048
"I17"	"Chlamydomonas noctigama"	2	0	0
"I17"	"Chlamydomonas noctigama"	3	0.0124	0.0011
"I17"	"Chlamydomonas noctigama"	4	0.138	0.0098
"I17"	"Chlamydomonas noctigama"	5	0.1994	0.0148
"I18"	"Chlamydomonas noctigama"	1	0	0
"I18"	"Chlamydomonas noctigama"	2	0	0
"I18"	"Chlamydomonas noctigama"	3	0	0
"I18"	"Chlamydomonas noctigama"	4	0	0
"I18"	"Chlamydomonas noctigama"	5	0	0
"I19"	"Chlamydomonas noctigama"	1	0.1283	0.0082
"I19"	"Chlamydomonas noctigama"	2	0	0
"I19"	"Chlamydomonas noctigama"	3	0.0935	0.007
"I19"	"Chlamydomonas noctigama"	4	0.3029	0.0179
"I19"	"Chlamydomonas noctigama"	5	0.2999	0.0199
"I20"	"Chlamydomonas noctigama"	1	0	0
"I20"	"Chlamydomonas noctigama"	2	0.0545	0.0026
"I20"	"Chlamydomonas noctigama"	3	0.1018	0.0044
"I20"	"Chlamydomonas noctigama"	4	0.1923	0.0074
"I20"	"Chlamydomonas noctigama"	5	0.1594	0.0068
"I23"	"Chlamydomonas noctigama"	1	0.0819	0.0058
"I23"	"Chlamydomonas noctigama"	2	0.0205	0.0015
"I23"	"Chlamydomonas noctigama"	3	0.0586	0.0042
"I23"	"Chlamydomonas noctigama"	4	0.1296	0.009
"I23"	"Chlamydomonas noctigama"	5	0.1117	0.0079
"I24"	"Chlamydomonas noctigama"	1	0	0
"I24"	"Chlamydomonas noctigama"	2	0.0708	0.0048
"I24"	"Chlamydomonas noctigama"	3	0.0505	0.0035
"I24"	"Chlamydomonas noctigama"	4	0.0991	0.0067
"I24"	"Chlamydomonas noctigama"	5	0.0499	0.0034
"I25"	"Chlamydomonas noctigama"	1	0	0
"I25"	"Chlamydomonas noctigama"	2	0.0676	0.0043
"I25"	"Chlamydomonas noctigama"	3	0.07	0.0043
"I25"	"Chlamydomonas noctigama"	4	0.1136	0.0068
"I25"	"Chlamydomonas noctigama"	5	0.0599	0.0036
"I26"	"Chlamydomonas noctigama"	1	0.0783	0.0058
"I26"	"Chlamydomonas noctigama"	2	0.056	0.0048
"I26"	"Chlamydomonas noctigama"	3	0	0
"I26"	"Chlamydomonas noctigama"	4	0	0
"I26"	"Chlamydomonas noctigama"	5	0	0
"I27"	"Chlamydomonas noctigama"	1	0.1705	0.0074
"I27"	"Chlamydomonas noctigama"	2	0.0193	8e-04
"I27"	"Chlamydomonas noctigama"	3	0.0066	3e-04
"I27"	"Chlamydomonas noctigama"	4	0.326	0.0141
"I27"	"Chlamydomonas noctigama"	5	0.0954	0.0045
"I28"	"Chlamydomonas noctigama"	1	0.1621	0.0117
"I28"	"Chlamydomonas noctigama"	2	0.0314	0.0028
"I28"	"Chlamydomonas noctigama"	3	0	0
"I28"	"Chlamydomonas noctigama"	4	0	0
"I28"	"Chlamydomonas noctigama"	5	0	0
"I29"	"Chlamydomonas noctigama"	1	0.1722	0.0169
"I29"	"Chlamydomonas noctigama"	2	0	0
"I29"	"Chlamydomonas noctigama"	3	0	0
"I29"	"Chlamydomonas noctigama"	4	0	0
"I29"	"Chlamydomonas noctigama"	5	0.0458	0.0045
"I31"	"Chlamydomonas bilatus"	1	0.0402	0.0025
"I31"	"Chlamydomonas bilatus"	2	0.1164	0.006
"I31"	"Chlamydomonas bilatus"	3	0	0
"I31"	"Chlamydomonas bilatus"	4	0.203	0.0099
"I31"	"Chlamydomonas bilatus"	5	0.2212	0.0116
"I32"	"Chlamydomonas bilatus"	1	0.1452	0.0056
"I32"	"Chlamydomonas bilatus"	2	0.1654	0.0067
"I32"	"Chlamydomonas bilatus"	3	0.2263	0.0093
"I32"	"Chlamydomonas bilatus"	4	0.1795	0.0064
"I32"	"Chlamydomonas bilatus"	5	0.0599	0.0023
"I33"	"Chlamydomonas bilatus"	1	0.1012	0.0058
"I33"	"Chlamydomonas bilatus"	2	0.1502	0.0082
"I33"	"Chlamydomonas bilatus"	3	0.0342	0.0022
"I33"	"Chlamydomonas bilatus"	4	0.2879	0.0141
"I33"	"Chlamydomonas bilatus"	5	0.242	0.0131
"I34"	"Chlamydomonas bilatus"	1	0.0312	0.0012
"I34"	"Chlamydomonas bilatus"	2	0.0729	0.003
"I34"	"Chlamydomonas bilatus"	3	0.4227	0.0159
"I34"	"Chlamydomonas bilatus"	4	0.2783	0.01
"I34"	"Chlamydomonas bilatus"	5	0.35	0.0134
"I35"	"Chlamydomonas bilatus"	1	0.0676	0.005
"I35"	"Chlamydomonas bilatus"	2	0.105	0.0077
"I35"	"Chlamydomonas bilatus"	3	0.1145	0.0077
"I35"	"Chlamydomonas bilatus"	4	0.1722	0.0124
"I35"	"Chlamydomonas bilatus"	5	0.0815	0.0056
"I36"	"Chlamydomonas bilatus"	1	0.0759	0.0043
"I36"	"Chlamydomonas bilatus"	2	0.2328	0.0135
"I36"	"Chlamydomonas bilatus"	3	0.2473	0.0133
"I36"	"Chlamydomonas bilatus"	4	0.3136	0.016
"I36"	"Chlamydomonas bilatus"	5	0.1868	0.0101
"I37"	"Chlamydomonas bilatus"	1	0.096	0.005
"I37"	"Chlamydomonas bilatus"	2	0.271	0.0123
"I37"	"Chlamydomonas bilatus"	3	0.1065	0.0055
"I37"	"Chlamydomonas bilatus"	4	0.2663	0.0112
"I37"	"Chlamydomonas bilatus"	5	0.1474	0.0073
"I38"	"Chlamydomonas bilatus"	1	0.1386	0.0078
