Code	Iso	Species	Period	Nutri	Pred	Phos	Rotifer	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	1	113
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	1	90
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	1	178
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	1	1	67
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	3	5	13	1	2,08	2	1	151
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	7	5	13	1	2,08	3	1	104
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	1	97
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	1	198
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	1	131
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	3	5	13	1	2,08	1	1	108
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	3	5	13	1	2,08	2	1	103
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	4	5	13	1	2,08	3	1	178
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	2	144
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	2	67
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	2	108
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	1	2	123
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	7	5	13	1	2,08	2	2	115
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	3	5	13	1	2,08	3	2	62
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	2	90
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	2	197
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	2	145
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	5	5	13	1	2,08	1	2	37
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	5	5	13	1	2,08	2	2	282
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	3	5	13	1	2,08	3	2	81
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	3	81
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	3	378
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	3	356
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	6	5	13	1	2,08	1	3	61
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	9	5	13	1	2,08	2	3	93
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	3	5	13	1	2,08	3	3	45
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	3	31
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	3	110
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	3	23
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	8	5	13	1	2,08	1	3	558
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	7	5	13	1	2,08	2	3	25
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	4	5	13	1	2,08	3	3	16
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	4	168
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	4	201
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	4	225
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	3	5	13	1	2,08	1	4	115
