"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"GrowA"	"GrowP"
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.111853367166669	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.0863819184484723	-0.0381735779424156
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.361446594904317	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.0894294413958562	0.313424458175212
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.1303125572439	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	-0.05617835823708	-0.00149769567846039
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.259500422657468	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.178161900669786	0.243667940882284
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.0755485418664557	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0692008572403437	-1.1699874925768e-05
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.31602352351787	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.242945861786199	0.25746390160842
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0446338091340394	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	-0.0526605319008246	0.0141150788966776
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.273015833162986	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.219772895054259	0.21418074319066
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.072518868408983	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0641144094888553	-0.0333009159689619
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.22974463634147	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.108953058272912	0.263083609201281
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.0841871863497018	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	-0.101632077753487	-0.0622140123641889
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.203525577881636	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.197625974540386	0.283127823108247
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0278268179192756	0
