Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2	239
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2	231
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2	121
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2	249
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2	159
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4	194
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4	162
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4	89
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4	103
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4	104
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6	371
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6	306
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6	355
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6	328
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	6	348
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	8	763
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8	668
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	8	644
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8	567
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	8	587
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	10	765
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	10	666
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	10	699
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	10	638
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	10	781
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	12	599
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	12	613
