"Iso"	"Species"	"Trial"	"GR"	"CC"
"I2"	"Chlamydomonas noctigama"	1	1.1162	81052
"I2"	"Chlamydomonas noctigama"	2	1.1829	72454
"I2"	"Chlamydomonas noctigama"	3	1.3511	75536
"I2"	"Chlamydomonas noctigama"	4	1.563	73576
"I2"	"Chlamydomonas noctigama"	5	1.1625	76483
"I3"	"Chlamydomonas noctigama"	1	1.2433	78795
"I3"	"Chlamydomonas noctigama"	2	1.3576	80768
"I3"	"Chlamydomonas noctigama"	3	1.4642	83770
"I3"	"Chlamydomonas noctigama"	4	1.4602	88691
"I3"	"Chlamydomonas noctigama"	5	1.4496	97236
"I4"	"Chlamydomonas noctigama"	1	1.2594	157116
"I4"	"Chlamydomonas noctigama"	2	1.0674	132374
"I4"	"Chlamydomonas noctigama"	3	1.3838	141392
"I4"	"Chlamydomonas noctigama"	4	1.2881	148788
"I4"	"Chlamydomonas noctigama"	5	1.2251	153871
"I5"	"Chlamydomonas noctigama"	1	1.272	82377
"I5"	"Chlamydomonas noctigama"	2	1.3926	95870
"I5"	"Chlamydomonas noctigama"	3	1.3404	107389
"I5"	"Chlamydomonas noctigama"	4	1.0097	121612
"I5"	"Chlamydomonas noctigama"	5	1.3231	118760
"I7"	"Chlamydomonas noctigama"	1	1.2261	80295
"I7"	"Chlamydomonas noctigama"	2	1.0632	78186
"I7"	"Chlamydomonas noctigama"	3	1.1688	77186
"I7"	"Chlamydomonas noctigama"	4	1.5496	80025
"I7"	"Chlamydomonas noctigama"	5	1.4226	83702
"I8"	"Chlamydomonas noctigama"	1	1.5023	45076
"I8"	"Chlamydomonas noctigama"	2	1.199	40614
"I8"	"Chlamydomonas noctigama"	3	1.5481	38370
"I8"	"Chlamydomonas noctigama"	4	1.5097	40709
"I8"	"Chlamydomonas noctigama"	5	1.4427	39438
"I9"	"Chlamydomonas noctigama"	1	1.1216	172177
"I9"	"Chlamydomonas noctigama"	2	1.2474	153182
"I9"	"Chlamydomonas noctigama"	3	2.0409	154939
"I9"	"Chlamydomonas noctigama"	4	1.4522	157467
"I9"	"Chlamydomonas noctigama"	5	1.449	160550
"I10"	"Chlamydomonas noctigama"	1	1.6438	205883
"I10"	"Chlamydomonas noctigama"	2	1.3214	227798
"I10"	"Chlamydomonas noctigama"	3	1.5402	270103
"I10"	"Chlamydomonas noctigama"	4	1.1559	281081
"I10"	"Chlamydomonas noctigama"	5	1.498	286381
"I11"	"Chlamydomonas noctigama"	1	1.8787	124154
"I11"	"Chlamydomonas noctigama"	2	1.7045	119017
"I11"	"Chlamydomonas noctigama"	3	1.4699	152316
"I11"	"Chlamydomonas noctigama"	4	1.5037	141514
"I11"	"Chlamydomonas noctigama"	5	1.744	134240
"I13"	"Chlamydomonas noctigama"	1	1.6888	130820
"I13"	"Chlamydomonas noctigama"	2	1.367	120666
"I13"	"Chlamydomonas noctigama"	3	1.197	127440
"I13"	"Chlamydomonas noctigama"	4	1.3572	127750
"I13"	"Chlamydomonas noctigama"	5	1.0728	135957
"I14"	"Chlamydomonas noctigama"	1	1.3279	267466
"I14"	"Chlamydomonas noctigama"	2	1.3215	264046
"I14"	"Chlamydomonas noctigama"	3	1.5923	322844
"I14"	"Chlamydomonas noctigama"	4	1.159	304917
"I14"	"Chlamydomonas noctigama"	5	1.2184	288611
"I15"	"Chlamydomonas noctigama"	1	1.2612	48780
"I15"	"Chlamydomonas noctigama"	2	1.4817	49145
"I15"	"Chlamydomonas noctigama"	3	1.5139	47306
"I15"	"Chlamydomonas noctigama"	4	1.423	50619
"I15"	"Chlamydomonas noctigama"	5	1.613	46630
"I16"	"Chlamydomonas noctigama"	1	1.0974	37058
"I16"	"Chlamydomonas noctigama"	2	1.3722	33110
"I16"	"Chlamydomonas noctigama"	3	1.2241	31096
"I16"	"Chlamydomonas noctigama"	4	1.2406	34233
"I16"	"Chlamydomonas noctigama"	5	1.1866	30934
"I17"	"Chlamydomonas noctigama"	1	1.3221	172759
"I17"	"Chlamydomonas noctigama"	2	1.3208	177572
"I17"	"Chlamydomonas noctigama"	3	1.0155	178275
"I17"	"Chlamydomonas noctigama"	4	1.4099	193120
"I17"	"Chlamydomonas noctigama"	5	1.2338	208113
"I18"	"Chlamydomonas noctigama"	1	1.0396	30190
"I18"	"Chlamydomonas noctigama"	2	1.1432	28514
