"Iso"	"Species"	"CA"	"CALSD"	"CAUSD"	"CD"	"CDLSD"	"CDUSD"
"I2"	"Chlamydomonas noctigama"	147.472	21.0942	273.8499	13.1789	9.4129	16.9448
"I3"	"Chlamydomonas noctigama"	149.013	48.15	249.876	13.4452	10.4363	16.4541
"I4"	"Chlamydomonas noctigama"	153.054	10.1967	295.9114	13.3673	9.3309	17.4037
"I5"	"Chlamydomonas noctigama"	113.1703	0	229.5798	11.5108	8.0945	14.927
"I7"	"Chlamydomonas noctigama"	180.6841	72.1648	289.2034	14.7527	11.2126	18.2928
"I8"	"Chlamydomonas noctigama"	144.952	49.8416	240.0624	13.2345	10.1521	16.317
"I9"	"Chlamydomonas noctigama"	240.8169	0	500.2163	16.2002	9.5415	22.8588
"I10"	"Chlamydomonas noctigama"	106.2938	61.2642	151.3234	11.4915	9.6609	13.3222
"I11"	"Chlamydomonas noctigama"	142.6543	48.1194	237.1892	13.1408	10.1333	16.1484
"I13"	"Chlamydomonas noctigama"	193.8767	0	431.3384	14.4738	8.3506	20.597
"I14"	"Chlamydomonas noctigama"	159.483	4.1354	314.8306	13.5166	8.9923	18.0409
"I15"	"Chlamydomonas noctigama"	144.7363	22.7816	266.6909	13.0744	9.4082	16.7406
"I16"	"Chlamydomonas noctigama"	140.5304	67.208	213.8527	13.1468	10.6605	15.6331
"I17"	"Chlamydomonas noctigama"	157.3629	87.9438	226.782	13.862	10.9793	16.7446
"I18"	"Chlamydomonas noctigama"	144.9033	86.6626	203.1439	13.3361	10.7401	15.9321
"I19"	"Chlamydomonas noctigama"	142.5936	36.0463	249.1409	13.0691	9.7753	16.3629
"I20"	"Chlamydomonas noctigama"	145.5307	35.5436	255.5178	13.1946	9.8339	16.5553
"I23"	"Chlamydomonas noctigama"	142.408	84.562	200.2539	13.2778	11.0167	15.5389
"I24"	"Chlamydomonas noctigama"	137.0942	89.9156	184.2728	13.0571	11.0187	15.0955
"I25"	"Chlamydomonas noctigama"	145.2594	6.5422	283.9766	13.0033	9.0082	16.9984
"I26"	"Chlamydomonas noctigama"	176.3757	16.8788	335.8725	14.3256	9.9138	18.7374
"I27"	"Chlamydomonas noctigama"	143.0624	1.7509	284.3739	12.9203	9.0069	16.8336
"I28"	"Chlamydomonas noctigama"	208.2784	35.6566	380.9002	15.5639	10.7583	20.3694
"I29"	"Chlamydomonas noctigama"	135.9804	75.9634	195.9975	12.8977	10.2759	15.5196
"I31"	"Chlamydomonas bilatus"	129.8264	80.113	179.5399	12.6829	10.5546	14.8111
"I32"	"Chlamydomonas bilatus"	241.1546	0.2658	482.0434	16.4654	10.4568	22.4739
"I33"	"Chlamydomonas bilatus"	336.7604	14.3193	659.2014	19.2067	11.4538	26.9597
"I34"	"Chlamydomonas bilatus"	192.7882	100.1166	285.4597	15.3268	12.0587	18.5949
"I35"	"Chlamydomonas bilatus"	122.0225	67.9234	176.1216	12.2719	10.0707	14.473
"I36"	"Chlamydomonas bilatus"	221.323	127.9333	314.7128	16.4507	13.0868	19.8146
"I37"	"Chlamydomonas bilatus"	151.6116	82.3137	220.9096	13.6101	10.7989	16.4213
"I38"	"Chlamydomonas bilatus"	177.8271	63.7898	291.8643	14.5455	10.6774	18.4136
"I40"	"Chlamydomonas bilatus"	159.5632	53.2135	265.9128	13.8141	10.2873	17.3409
"I41"	"Chlamydomonas bilatus"	183.3058	100.3521	266.2596	14.9321	11.685	18.1793
"I42"	"Chlamydomonas bilatus"	215.754	129.537	301.971	16.2802	13.1495	19.411
"I43"	"Chlamydomonas bilatus"	142.5715	99.161	185.982	13.3391	11.4185	15.2597
"I44"	"Chlamydomonas bilatus"	234.2028	97.0106	371.3949	16.8745	13.1866	20.5625
"I45"	"Chlamydomonas bilatus"	191.3499	99.9715	282.7282	15.2864	12.1103	18.4624
"I46"	"Chlamydomonas bilatus"	182.7267	45.2829	320.1704	14.6165	10.2423	18.9907
"I47"	"Chlamydomonas bilatus"	127.54	72.9611	182.1188	12.5057	10.04	14.9714
"I48"	"Chlamydomonas bilatus"	257.7754	134.642	380.9089	17.7556	14.1338	21.3774
"I49"	"Chlamydomonas bilatus"	167.3366	72.2046	262.4687	14.2839	11.261	17.3069
"I50"	"Chlamydomonas bilatus"	177.173	31.2859	323.0601	14.5232	10.6792	18.3673
"I51"	"Chlamydomonas bilatus"	178.6507	90.6013	266.7001	14.6921	11.268	18.1162
"I52"	"Chlamydomonas bilatus"	170.5975	52.5335	288.6615	14.3488	10.9673	17.7304
"I53"	"Chlamydomonas bilatus"	138.702	90.6488	186.7552	13.1227	11.0048	15.2406
"I54"	"Chlamydomonas bilatus"	146.7523	86.6872	206.8173	13.3948	10.6514	16.1382
"I57"	"Chlamydomonas bilatus"	225.8578	149.6206	302.0949	16.7351	13.9685	19.5017
"I58"	"Chlamydomonas bilatus"	80.1882	30.8112	129.5653	9.8325	7.4927	12.1722
