"Iso"	"Species"	"IR"	"IRLSD"	"IRUSD"	"CR"	"CRLSD"	"CRUSD"	"GR"	"GRLSD"	"GRUSD"	"CC"	"CCLSD"	"CCUSD"	"HS"	"HSLSD"	"HSUSD"	"AF"	"AFLSD"	"AFUSD"	"GRM"	"GRMLSD"	"GRMUSD"	"CA"	"CALSD"	"CAUSD"	"CD"	"CDLSD"	"CDUSD"
"I2"	"Chlamydomonas noctigama"	0.1302	0	0.2747	0.0059	0	0.0125	1.2751	1.0914	1.4589	75820	72494	79147	0.0436	0	0.365	3.8005	2.6101	4.9908	0.1657	0.1138	0.2176	147.472	21.0942	273.8499	13.1789	9.4129	16.9448
"I3"	"Chlamydomonas noctigama"	0.0343	0	0.1007	0.0019	0	0.0056	1.395	1.2995	1.4904	85852	78476	93228	0.025	0	0.1188	12.792	10.884	14.7	0.3198	0.2721	0.3675	149.013	48.15	249.876	13.4452	10.4363	16.4541
"I4"	"Chlamydomonas noctigama"	0.022	0.0088	0.0353	0.0018	7e-04	0.0028	1.2448	1.1294	1.3602	146708	136737	156679	0.0083	0	0.2028	30.5542	21.9277	39.7229	0.2536	0.182	0.3297	153.054	10.1967	295.9114	13.3673	9.3309	17.4037
"I5"	"Chlamydomonas noctigama"	0.1266	0.0554	0.1978	0.0082	0.0038	0.0127	1.2676	1.1171	1.418	105202	88877	121526	0.0628	0	0.2932	1.6194	1.086	2.1529	0.1017	0.0682	0.1352	113.1703	0	229.5798	11.5108	8.0945	14.927
"I7"	"Chlamydomonas noctigama"	0.0771	0.027	0.1272	0.0073	0.0029	0.0116	1.2861	1.0891	1.483	79879	77382	82375	0.0062	0	0.0329	47.7581	39.6935	55.8226	0.2961	0.2461	0.3461	180.6841	72.1648	289.2034	14.7527	11.2126	18.2928
"I8"	"Chlamydomonas noctigama"	0.1973	0.1584	0.2362	0.0119	0.0096	0.0142	1.4404	1.3003	1.5805	40841	38288	43395	0.0192	0	0.1868	13.5625	11.3802	15.7448	0.2604	0.2185	0.3023	144.952	49.8416	240.0624	13.2345	10.1521	16.317
"I9"	"Chlamydomonas noctigama"	0.1046	0.0824	0.1269	0.0073	0.0057	0.0089	1.4622	1.1096	1.8148	159663	152138	167188	0.0156	0	0.2967	15.4487	13.4744	17.4231	0.241	0.2102	0.2718	240.8169	0	500.2163	16.2002	9.5415	22.8588
"I10"	"Chlamydomonas noctigama"	0.245	0.1312	0.3589	0.0081	0.0046	0.0115	1.4319	1.2386	1.6251	254249	218743	289755	0.0269	0	0.2321	13.2045	11.7955	14.6134	0.3552	0.3173	0.3931	106.2938	61.2642	151.3234	11.4915	9.6609	13.3222
"I11"	"Chlamydomonas noctigama"	0.1425	0.0375	0.2474	0.0068	0.0019	0.0117	1.6602	1.4888	1.8315	134248	120896	147600	0.011	0	0.1204	24.0727	21.2818	28.0636	0.2648	0.2341	0.3087	142.6543	48.1194	237.1892	13.1408	10.1333	16.1484
"I13"	"Chlamydomonas noctigama"	0.0989	0.0057	0.1921	0.0065	5e-04	0.0125	1.3366	1.105	1.5681	128527	122958	134095	0.0754	0	0.1517	1.5199	0.6088	2.6538	0.1146	0.0459	0.2001	193.8767	0	431.3384	14.4738	8.3506	20.597
