"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"AucA"	"AucP"	"GrowA"	"GrowP"
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	91	0	0.111853	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	87	6	0.086382	-0.038174
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	98	0	0.361447	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	93	16	0.089429	0.313424
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	92	0	0.130313	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	85	8	-0.056178	-0.001498
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	99	0	0.2595	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	95	15	0.178162	0.243668
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	92	0	0.075549	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	86	6	0.069201	-1.2e-05
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	98	0	0.316024	0
"I2"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	93	14	0.242946	0.257464
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	89	0	0.044634	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	84	6	-0.052661	0.014115
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	93	0	0.273016	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	91	15	0.219773	0.214181
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	88	0	0.072519	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	82	5	0.064114	-0.033301
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	95	0	0.229745	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	89	19	0.108953	0.263084
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	88	0	0.084187	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	87	5	-0.101632	-0.062214
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	93	0	0.203526	0
"I3"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	92	17	0.197626	0.283128
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	94	0	0.027827	0
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	88	2	0.067468	-0.054461
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	97	0	0.237242	0
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	97	12	0.278968	0.292938
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	94	0	0.034322	0
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	89	8	0.00567	0.081445
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	97	0	0.346755	0
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	96	14	0.270279	0.271795
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	92	0	0.027364	0
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	87	8	0.029481	0.028733
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	99	0	0.238866	0
"I4"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	97	11	0.194094	0.163527
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	91	0	0.222931	0
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	90	8	-0.035599	0.055895
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	99	0	0.260224	0
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	92	14	0.116594	0.274133
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	85	0	0.137125	0
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	84	9	0.111081	0.08062
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	97	0	0.266616	0
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	95	13	0.252235	0.234722
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	91	0	0.197223	0
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	86	6	0.221494	-0.006645
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	96	0	0.265065	0
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	95	12	0.14119	0.220471
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	89	0	0.050122	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	81	4	0.120213	-0.016692
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	92	0	0.145215	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	93	13	0.169331	0.36178
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	85	0	0.193059	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	83	7	0.036499	0.003498
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	97	0	0.200919	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	94	6	0.228245	0.140774
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	86	0	0.071707	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	82	8	-0.000778	0.06787
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	93	0	0.23669	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	90	13	0.030932	0.412055
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	90	0	0.043998	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	89	9	-0.043726	0.075938
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	103	0	0.286285	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	94	14	0.171309	0.220263
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	91	0	0.034414	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	81	12	-0.227118	0.173063
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	102	0	0.288382	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	101	5	0.268806	-0.033973
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	90	0	0.114262	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	91	8	0.04409	0.072123
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	103	0	0.328549	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	87	21	-0.048173	0.252521
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	82	0	0.091465	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	82	5	0.112331	0.00578
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	87	0	0.253063	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	77	9	0.095177	0.069061
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	83	0	0.119089	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	82	8	0.029931	0.056053
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	88	0	0.132303	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	76	9	0.01231	0.0984
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	83	0	0.183704	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	78	7	0.179825	0.087798
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	88	0	0.135883	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	79	6	0.071174	0.011536
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	94	0	0.079644	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	88	12	0.224979	0.119547
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	106	0	0.301331	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	97	11	0.401886	0.242265
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	93	0	0.121989	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	93	12	-0.11266	0.150513
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	100	0	0.480273	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	95	19	0.105067	0.37968
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	94	0	0.140663	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	89	9	0.088905	0.027379
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	103	0	0.344854	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	97	20	0.105762	0.40107
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	94	0	0.141518	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	87	12	-0.00984	0.190933
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	101	0	0.448579	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	99	18	0.304301	0.264191
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	94	0	0.19579	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	83	15	-0.080762	0.205464
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	102	0	0.386625	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	100	7	0.438027	0.083895
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	95	0	0.164077	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	83	15	-0.205874	0.205551
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	100	0	0.519814	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	98	22	0.143613	0.283048
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	93	0	0.099695	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	92	6	0.136096	0.073409
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	101	0	0.269214	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	98	7	0.197101	0.07199
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	92	0	0.114493	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	91	9	-0.014144	0.063102
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	100	0	0.244799	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	95	16	0.096642	0.292371
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	93	0	0.065587	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	89	10	-0.003345	0.105018
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	100	0	0.280556	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	97	7	0.259534	-0.018915
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	98	0	0.043037	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	93	3	0.289999	-0.012133
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	104	0	0.289965	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	101	17	0.239069	0.367037
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	94	0	0.191597	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	98	3	0.151177	0.02862
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	103	0	0.387681	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	101	12	0.494782	0.328488
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	93	0	0.280391	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	96	2	0.134639	-0.043272
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	100	0	0.527652	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	102	13	0.314147	0.329313
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	109	0	0.104615	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	107	5	0.071873	-0.005841
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	115	0	0.290214	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	112	5	0.069195	-0.000183
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	109	0	0.091951	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	107	5	0.088447	-0.000995
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	115	0	0.256001	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	112	5	0.094199	0.000974
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	109	0	0.106716	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	106	5	0.108067	0.006407
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	115	0	0.28069	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	112	5	0.118345	0.002802
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	111	0	0.241108	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	110	5	0.163376	0.030051
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	114	0	0.338188	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	116	5	0.281829	0.011075
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	110	0	0.185354	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	110	5	0.159251	-0.002105
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	115	0	0.338192	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	115	6	0.310683	0.012581
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	110	0	0.209369	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	110	5	0.148689	0.043161
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	114	0	0.334172	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	114	5	0.263168	-0.003767
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	113	0	0.072348	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	109	7	-0.00587	-0.025364
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	121	0	0.195812	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	117	8	0.138832	-0.024963
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	113	0	0.077804	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	109	7	-0.01212	-0.013527
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	121	0	0.24177	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	116	8	0.123809	0.01459
