Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	IXMI	IXMF
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4685	4587
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4802	4541
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4789	4743
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4676	3186
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4692	3119
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3545	3542
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3532	3434
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3516	3611
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3870	3059
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3432	3705
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2680	2520
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2741	2585
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2642	2473
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2499	2544
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2539	2437
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3222	2661
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3332	2442
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3154	2420
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3372	2279
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3035	2941
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2089	1871
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2000	1931
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	1985	1548
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2654	2009
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2244	1559
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3676	2853
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3624	2494
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3383	2412
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3444	2480
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3585	2219
3B_A6	I9	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3121	2745
3B_A6	I9	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3181	2550
3B_A6	I9	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3103	2422
3B_A6	I9	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2800	2216
3B_A6	I9	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3045	2531
3B_B6	I10	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6599	5518
3B_B6	I10	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6359	4571
3B_B6	I10	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6759	4773
3B_B6	I10	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6609	5400
3B_B6	I10	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	5235	4775
3B_C4	I11	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4535	4221
3B_C4	I11	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4664	3177
3B_C4	I11	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4459	3933
3B_C4	I11	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4303	3087
3B_C4	I11	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4024	3773
3B_D4	I13	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3133	3093
3B_D4	I13	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2532	2357
3B_D4	I13	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3279	2837
3B_D4	I13	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3474	2796
3B_D4	I13	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3252	1954
3B_D6	I14	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	9315	6792
3B_D6	I14	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8924	7338
3B_D6	I14	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	9045	7196
3B_D6	I14	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8633	7770
3B_D6	I14	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	7336	6508
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	5435	5021
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	5557	4569
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	5541	4425
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	5455	4350
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4816	4536
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	1683	2129
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	1560	1936
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	1504	2237
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	1374	2298
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	1653	2055
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2816	2476
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2215	2283
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2478	2412
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2993	2258
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2876	1814
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3430	3756
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3019	4161
