"Species"	"ED"	"EDLSD"	"EDUSD"	"GR"	"GRLSD"	"GRUSD"	"HS"	"HSLSD"	"HSUSD"	"CA"	"CALSD"	"CAUSD"
"Achnanthes"	0.550	0.280	0.820	2.500	1.800	3.200	0.160	0.000	0.390	360.000	50.000	670.000
"Anabaena"	0.340	0.220	0.460	0.880	2.300	1.080	0.094	0.000	0.214	170.000	96.000	244.000
"Ankistrodesmus"	0.530	0.180	0.880	1.600	1.140	2.060	1.300	0.000	4.800	180.000	82.000	278.000
"Ankyra"	0.750	0.250	1.250	2.200	1.370	3.030	0.920	0.000	4.420	120.000	49.000	191.000
"Aphanizomenon"	0.300	0.170	0.430	0.970	0.700	1.240	0.048	0.000	0.132	100.000	37.000	163.000
"Asterionella"	0.230	0.139	0.321	1.500	1.200	1.800	0.100	0.000	0.200	1300.000	570.000	2030.000
"Asterococcus"	0.190	0.060	0.320	0.880	0.650	1.110	0.200	0.000	1.120	870.000	0.000	1970.000
"Aulacoseira"	0.230	0.120	0.340	1.500	1.070	1.930	0.018	0.000	0.042	780.000	330.000	1230.000
"Ceratium"	0.110	0.033	0.187	0.250	0.196	0.304	0.910	0.000	3.510	9900.000	4100.000	15700.000
"Chlamydomonas"	0.620	0.500	0.740	1.800	1.420	2.180	0.170	0.060	0.280	200.000	130.000	270.000
"Chlorella"	0.310	0.259	0.361	1.700	1.460	1.940	0.045	0.021	0.069	47.000	37.300	56.700
"Chromulina"	0.270	0.090	0.450	1.000	0.600	1.400	0.160	0.000	0.460	290.000	194.000	386.000
"Chroococcus"	0.100	0.030	0.170	0.580	0.350	0.810	0.004	0.000	0.011	400.000	180.000	620.000
"Chroomonas"	0.760	0.230	1.290	1.500	1.090	1.910	1.100	0.000	7.400	550.000	0.000	1270.000
"Chrysochromulina"	0.500	0.250	0.750	1.700	0.970	2.430	0.091	0.000	0.241	94.000	46.000	142.000
"Closterium"	0.330	0.080	0.580	1.300	0.780	1.820	2.000	0.000	7.200	4000.000	1500.000	6500.000
"Coelastrum"	0.320	0.150	0.490	1.500	1.140	1.860	0.120	0.000	0.410	380.000	50.000	710.000
"Cosmarium"	0.160	0.050	0.270	0.950	0.630	1.270	0.072	0.000	0.242	3100.000	1400.000	4800.000
"Cryptomonas"	0.550	0.380	0.720	1.200	1.090	1.310	0.140	0.040	0.240	1100.000	650.000	1550.000
"Cyclotella"	0.230	0.136	0.324	1.600	1.250	1.950	0.004	0.001	0.007	400.000	270.000	530.000
"Cylindrotheca"	0.450	0.140	0.760	1.700	1.050	2.350	0.260	0.000	0.930	570.000	0.000	1260.000
"Dictyosphaerium"	0.280	0.080	0.480	1.200	0.750	1.650	0.290	0.000	1.390	910.000	410.000	1410.000
"Dinobryon"	0.150	0.108	0.192	0.740	0.620	0.860	0.110	0.019	0.201	400.000	280.000	520.000
"Elakatothrix"	0.330	0.130	0.530	1.400	0.700	2.100	0.760	0.000	5.760	1500.000	0.000	4400.000
"Erkenia"	0.530	0.150	0.910	1.700	0.910	2.490	0.220	0.000	1.060	130.000	31.000	229.000
"Eudorina"	0.220	0.080	0.360	1.100	0.700	1.500	0.032	0.000	0.111	750.000	0.000	1530.000
"Euglena"	0.370	0.010	0.730	1.100	0.710	1.490	2.700	0.000	82.700	1600.000	200.000	3000.000
"Fragilaria"	0.200	0.124	0.276	1.400	1.120	1.680	0.098	0.001	0.195	1500.000	650.000	2350.000
"Gymnodinium"	0.150	0.000	0.300	0.410	0.220	0.600	0.890	0.000	10.690	5200.000	2100.000	8300.000
"Kephyrion"	0.230	0.110	0.350	1.000	0.680	1.320	0.049	0.000	0.123	100.000	69.000	131.000
"Limnothrix"	0.480	0.100	0.860	1.300	0.870	1.730	0.230	0.000	1.830	100.000	0.000	250.000
"Mallomonas"	0.200	0.090	0.310	0.500	0.405	0.595	0.340	0.000	0.720	1600.000	850.000	2350.000
"Microcystis"	0.230	0.110	0.350	0.990	0.770	1.210	0.010	0.000	0.022	41.000	20.000	62.000
"Monodus"	0.400	0.080	0.720	1.300	0.730	1.870	0.140	0.000	0.490	150.000	91.000	209.000
"Monoraphidium"	0.520	0.140	0.900	1.600	1.020	2.180	0.880	0.000	4.280	130.000	57.000	203.000
"Mougeotia"	0.230	0.130	0.330	1.500	1.070	1.930	0.087	0.000	0.197	1100.000	550.000	1650.000
"Nitzschia"	0.460	0.280	0.640	1.800	1.480	2.120	0.150	0.040	0.260	400.000	70.000	730.000
"Oocystis"	0.400	0.180	0.620	1.500	1.040	1.960	0.190	0.000	0.450	440.000	0.000	920.000
"Oscillatoria"	0.470	0.310	0.630	1.000	0.820	1.180	0.099	0.000	0.239	39.000	22.000	56.000
"Pandorina"	0.190	0.070	0.310	0.990	0.660	1.320	0.030	0.000	0.102	920.000	260.000	1580.000
"Pediastrum"	0.310	0.090	0.530	1.300	0.820	1.780	0.310	0.000	1.510	650.000	330.000	970.000
"Peridinium"	0.088	0.035	0.141	0.240	0.195	0.285	0.130	0.000	0.450	4500.000	2300.000	6700.000
"Phacotus"	0.640	0.300	0.980	1.600	1.040	2.160	0.430	0.000	1.210	330.000	150.000	510.000
"Rhodomonas"	0.900	0.560	1.240	1.700	1.100	2.300	0.550	0.000	1.330	250.000	120.000	380.000
"Scenedesmus"	0.370	0.282	0.458	2.100	1.750	2.450	0.045	0.013	0.077	200.000	127.000	273.000
"Selenastrum"	0.410	0.322	0.498	1.600	0.990	2.210	0.290	0.000	1.110	470.000	0.000	1020.000
"Sphaerocystis"	0.190	0.102	0.278	1.100	0.760	1.440	0.085	0.000	0.205	620.000	150.000	1090.000
"Staurastrum"	0.150	0.055	0.245	0.840	0.680	1.000	0.150	0.000	0.490	5800.000	3600.000	8000.000
"Stephanodiscus"	0.360	0.265	0.455	1.800	1.530	2.070	0.013	0.004	0.022	540.000	380.000	700.000
"Synechocystis"	0.470	0.120	0.820	1.300	0.960	1.640	0.210	0.000	1.410	83.000	0.000	183.000
"Synedra"	0.340	0.240	0.440	1.700	1.470	1.930	0.420	0.180	0.660	1700.000	1040.000	2360.000
"Tabellaria"	0.190	0.107	0.273	1.200	0.950	1.450	0.130	0.000	0.270	2200.000	800.000	3600.000
"Tetraedron"	0.190	0.070	0.310	0.830	0.620	1.040	0.059	0.000	0.199	210.000	60.000	360.000
"Tribonema"	0.180	0.050	0.310	0.640	0.552	0.728	0.300	0.000	2.700	1100.000	0.000	2700.000
"Tychonema"	0.410	0.130	0.690	1.000	0.740	1.260	0.180	0.000	1.110	96.000	0.000	216.000
"Ulothrix"	0.480	0.270	0.690	1.500	0.890	2.110	0.640	0.000	1.740	310.000	160.000	460.000
"Uroglena"	0.300	0.080	0.520	1.100	0.630	1.570	0.250	0.000	1.070	300.000	30.000	570.000
"Volvox"	0.130	0.069	0.191	0.940	0.750	1.130	0.004	0.001	0.007	780.000	40.000	1520.000
